ID,year,month,day,doc,bay,region,latitude,longitude,TL_mm,age,predict.age,final.age,hdate
KDSP-1153,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,43,76,NA,76,110
KDSP-1154,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,44,81,NA,81,105
KDSP-1155,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,45,72,NA,72,114
KDSP-1156,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,47,79,NA,79,107
KDSP-1157,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,41,79,NA,79,107
KDSP-1158,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,46,76,NA,76,110
KDSP-1160,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,48,83,NA,83,103
KDSP-1161,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,43,68,NA,68,118
KDSP-1162,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,47,87,NA,87,99
KDSP-1163,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,44,73,NA,73,113
KDSP-1165,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,38,60,NA,60,126
KDSP-1166,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,45,75,NA,75,111
KDSP-1167,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,43,79,NA,79,107
KDSP-1168,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,41,70,NA,70,116
KDSP-1169,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,44,73,NA,73,113
KDSP-1170,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,44,73,NA,73,113
KDSP-1171,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,47,85,NA,85,101
KDSP-1172,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,51,83,NA,83,103
KDSP-1174,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,47,82,NA,82,104
KDSP-1175,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,49,82,NA,82,104
KDSP-1176,2021,July,5,186,Agripina Bay,Agripina Bay,57.104,-156.4767,46,75,NA,75,111
KDSP-1398.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,51,91,NA,91,94
KDSP-1399.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,55,95,NA,95,90
KDSP-1400.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,50,88,NA,88,97
KDSP-1401.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,54,99,NA,99,86
KDSP-1402.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,52,102,NA,102,83
KDSP-1403.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,46,94,NA,94,91
KDSP-1404.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,54,102,NA,102,83
KDSP-1405.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,49,89,NA,89,96
KDSP-1406.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,50,101,NA,101,84
KDSP-1407.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,56,100,NA,100,85
KDSP-1408.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,50,91,NA,91,94
KDSP-1410.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,49,94,NA,94,91
KDSP-1411.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,49,102,NA,102,83
KDSP-1412.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,45,95,NA,95,90
KDSP-1413.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,43,81,NA,81,104
KDSP-1415.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,48,83,NA,83,102
KDSP-1416.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,50,95,NA,95,90
KDSP-1417.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,51,84,NA,84,101
KDSP-1418.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,54,105,NA,105,80
KDSP-1419.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,47,87,NA,87,98
KDSP-1420.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,55,89,NA,89,96
KDSP-1421.2,2022,July,4,185,Agripina Bay,Agripina Bay,57.1042,-156.4766,50,91,NA,91,94
KDSP-1873.2,2023,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4714,43,74,NA,74,114
KDSP-1874.2,2023,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4714,40,81,NA,81,107
KDSP-1875.2,2023,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4714,38,65,NA,65,123
KDSP-1876.2,2023,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4714,37,70,NA,70,118
KDSP-1877.2,2023,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4714,43,70,NA,70,118
KDSP-1878.2,2023,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4714,46,83,NA,83,105
KDSP-1879.2,2023,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4714,40,73,NA,73,115
KDSP-1880.2,2023,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4714,37,65,NA,65,123
KDSP-1881.2,2023,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4714,43,75,NA,75,113
KDSP-1882.2,2023,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4714,41,69,NA,69,119
KDSP-1884.2,2023,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4714,47,81,NA,81,107
KDSP-1886.2,2023,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4714,40,76,NA,76,112
KDSP-1887.2,2023,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4714,41,69,NA,69,119
KDSP-1889.2,2023,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4714,37,67,NA,67,121
KDSP-1893.2,2023,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4714,45,77,NA,77,111
KDSP-1894.2,2023,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4714,45,74,NA,74,114
KDSP-1896.2,2023,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4714,41,76,NA,76,112
KDSP-1897.2,2023,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4714,45,77,NA,77,111
2001,2018,July,18,199,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,77,142,NA,142,57
2005,2018,July,18,199,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,80,148,NA,148,51
2006,2018,July,18,199,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,92,170,NA,170,29
2007,2018,July,18,199,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,94,147,NA,147,52
2010,2018,July,18,199,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,68,135,NA,135,64
2017,2018,July,15,196,Anton Larsen Bay,Eastern Kodiak,57.88538,-152.63903,69,135,NA,135,61
2019,2018,July,15,196,Anton Larsen Bay,Eastern Kodiak,57.88538,-152.63903,60,128,NA,128,68
2021,2018,July,15,196,Anton Larsen Bay,Eastern Kodiak,57.88538,-152.63903,63,127,NA,127,69
2025,2018,July,15,196,Anton Larsen Bay,Eastern Kodiak,57.88538,-152.63903,90,144,NA,144,52
2026,2018,July,18,199,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,87,139,NA,139,60
2028,2018,July,18,199,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,84,136,NA,136,63
2031,2018,July,18,199,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,89,150,NA,150,49
2034,2018,July,18,199,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,73,139,NA,139,60
2038,2018,July,15,196,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,69,131,NA,131,65
2042,2018,July,15,196,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,55,117,NA,117,79
2043,2018,July,15,196,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,60,118,NA,118,78
2045,2018,July,15,196,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,74,140,NA,140,56
2380,2019,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,57,110,NA,110,84
2383,2019,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,47,95,NA,95,99
2384,2019,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,67,123,NA,123,71
2385,2019,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,48,111,NA,111,83
2387,2019,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,55,109,NA,109,85
2388,2019,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,58,111,NA,111,83
2389,2019,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,61,135,NA,135,59
2390,2019,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,49,106,NA,106,88
2392,2019,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,48,103,NA,103,91
2393,2019,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,51,111,NA,111,83
2394,2019,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,41,94,NA,94,100
2396,2019,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,52,111,NA,111,83
2398,2019,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,45,103,NA,103,91
2399,2019,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,49,107,NA,107,87
2401,2019,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,55,120,NA,120,74
2402,2019,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,54,114,NA,114,80
2404,2019,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,64,128,NA,128,66
2405,2019,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,59,114,NA,114,80
2407,2019,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,61,114,NA,114,80
2408,2019,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,51,98,NA,98,96
BL3000,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,81,138,NA,138,53
BL3001,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,90,124,NA,124,67
BL3003,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,91,158,NA,158,33
BL3004,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,94,163,NA,163,28
BL3005,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,82,155,NA,155,36
BL3006,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88288,-152.62508,68,124,NA,124,67
BL3008,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88288,-152.62508,49,88,NA,88,103
BL3011,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88288,-152.62508,47,86,NA,86,105
BL3012,2021,July,11,192,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,85,152,NA,152,40
BL3015,2021,July,11,192,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,94,148,NA,148,44
BL3016,2021,July,11,192,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,82,157,NA,157,35
BL3018,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88288,-152.62508,49,87,NA,87,104
BL3019,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.87812,-152.63642,41,81,NA,81,110
BL3020,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.87812,-152.63642,65,129,NA,129,62
BL3021,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.87812,-152.63642,55,112,NA,112,79
BL3023,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.87812,-152.63642,55,114,NA,114,77
BL3024,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.86153,-152.6404,50,99,NA,99,92
BL3025,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.86153,-152.6404,42,84,NA,84,107
BL3028,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.86153,-152.6404,39,68,NA,68,123
BL3029,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,41,86,NA,86,105
BL3031,2021,July,9,190,Anton Larsen Bay,Eastern Kodiak,57.86153,-152.6404,41,74,NA,74,116
BL3032,2021,July,9,190,Anton Larsen Bay,Eastern Kodiak,57.86153,-152.6404,54,113,NA,113,77
BL3033,2021,July,9,190,Anton Larsen Bay,Eastern Kodiak,57.86153,-152.6404,48,95,NA,95,95
BL3034,2021,July,9,190,Anton Larsen Bay,Eastern Kodiak,57.86153,-152.6404,44,65,NA,65,125
BL3037,2021,July,9,190,Anton Larsen Bay,Eastern Kodiak,57.86153,-152.6404,42,76,NA,76,114
BL3038,2021,July,9,190,Anton Larsen Bay,Eastern Kodiak,57.86153,-152.6404,41,68,NA,68,122
BL3039,2021,July,9,190,Anton Larsen Bay,Eastern Kodiak,57.86153,-152.6404,44,89,NA,89,101
BL3040,2021,July,9,190,Anton Larsen Bay,Eastern Kodiak,57.86153,-152.6404,47,113,NA,113,77
BL3042,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,58,113,NA,113,78
BL3043,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,90,138,NA,138,53
BL3044,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,70,143,NA,143,48
BL3046,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,75,131,NA,131,60
BL3047,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,89,157,NA,157,34
BL3048,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,92,148,NA,148,43
BL3049,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,83,150,NA,150,41
BL3050,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,81,148,NA,148,43
BL3051,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,87,123,NA,123,68
BL3052,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,52,126,NA,126,65
BL3053,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,90,163,NA,163,28
BL3054,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,77,135,NA,135,56
BL3055,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,95,173,NA,173,18
BL3056,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,87,139,NA,139,52
BL3057,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,87,155,NA,155,36
BL3058,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,75,128,NA,128,63
BL3059,2021,July,10,191,Anton Larsen Bay,Eastern Kodiak,57.88017,-152.64703,81,149,NA,149,42
BL3519,2022,July,14,195,Anton Larsen Bay,Eastern Kodiak,57.88288,-152.62508,46,76,NA,76,119
BL3520,2022,July,14,195,Anton Larsen Bay,Eastern Kodiak,57.88288,-152.62508,49,99,NA,99,96
BL3521,2022,July,14,195,Anton Larsen Bay,Eastern Kodiak,57.88288,-152.62508,65,122,NA,122,73
BL3525,2022,July,14,195,Anton Larsen Bay,Eastern Kodiak,57.87825,-152.64772,77,117,NA,117,78
BL3527,2022,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.87812,-152.63642,48,92,NA,92,102
BL3528,2022,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.87812,-152.63642,56,93,NA,93,101
BL3530,2022,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.87812,-152.63642,43,85,NA,85,109
BL3531,2022,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.87812,-152.63642,58,101,NA,101,93
BL3532,2022,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.87812,-152.63642,43,84,NA,84,110
BL3537,2022,July,12,193,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,41,83,NA,83,110
BL3538,2022,July,12,193,Anton Larsen Bay,Eastern Kodiak,57.882,-152.62572,34,66,NA,66,127
BL3548,2022,July,13,194,Anton Larsen Bay,Eastern Kodiak,57.87812,-152.63642,39,72,NA,72,122
KDSP-151,2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.228,-160.5598,45,107,NA,107,106
KDSP-152,2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.228,-160.5598,42,98,NA,98,115
KDSP-153,2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.228,-160.5598,40,96,NA,96,117
KDSP-154,2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.2293,-160.5623,50,94,NA,94,119
KDSP-156,2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.228,-160.5598,53,107,NA,107,106
KDSP-157,2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.228,-160.5598,49,94,NA,94,119
KDSP-178,2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.2293,-160.5623,75,116,NA,116,97
KDSP-179,2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.2293,-160.5623,78,125,NA,125,88
KDSP-180,2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.2293,-160.5623,69,130,NA,130,83
KDSP-181,2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.228,-160.5598,49,98,NA,98,115
KDSP-20,2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.228,-160.5598,76,121,NA,121,92
KDSP-203,2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.2293,-160.5623,92,144,NA,144,69
KDSP-21,2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.228,-160.5598,76,126,NA,126,87
KDSP-22,2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.228,-160.5598,53,113,NA,113,100
KDSP-23,2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.228,-160.5598,50,109,NA,109,104
KDSP-24,2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.228,-160.5598,43,90,NA,90,123
KDSP-25,2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.2293,-160.5623,75,148,NA,148,65
KDSP-27,2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.2293,-160.5623,55,102,NA,102,111
KDSP-28,2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.2293,-160.5623,58,99,NA,99,114
KDSP-29,2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.2293,-160.5623,44,92,NA,92,121
KDSP-862,2020,July,23,205,Baralof Bay,Shumagin Islands,55.2293,-160.5519,49,88,NA,88,117
KDSP-863,2020,July,23,205,Baralof Bay,Shumagin Islands,55.2293,-160.5519,46,86,NA,86,119
KDSP-866,2020,July,23,205,Baralof Bay,Shumagin Islands,55.2293,-160.5519,52,90,NA,90,115
KDSP-867,2020,July,23,205,Baralof Bay,Shumagin Islands,55.2293,-160.5519,44,69,NA,69,136
KDSP-869,2020,July,23,205,Baralof Bay,Shumagin Islands,55.2293,-160.5519,48,86,NA,86,119
KDSP-870,2020,July,23,205,Baralof Bay,Shumagin Islands,55.2293,-160.5519,52,95,NA,95,110
KDSP-872,2020,July,23,205,Baralof Bay,Shumagin Islands,55.2293,-160.5519,57,103,NA,103,102
KDSP-873,2020,July,23,205,Baralof Bay,Shumagin Islands,55.2293,-160.5519,62,113,NA,113,92
KDSP-875,2020,July,23,205,Baralof Bay,Shumagin Islands,55.2293,-160.5519,67,112,NA,112,93
KDSP-876,2020,July,23,205,Baralof Bay,Shumagin Islands,55.2293,-160.5519,44,84,NA,84,121
KDSP-877,2020,July,23,205,Baralof Bay,Shumagin Islands,55.2293,-160.5519,47,91,NA,91,114
KDSP-878,2020,July,23,205,Baralof Bay,Shumagin Islands,55.2293,-160.5519,47,93,NA,93,112
KDSP-879,2020,July,23,205,Baralof Bay,Shumagin Islands,55.2293,-160.5519,40,76,NA,76,129
